"SubjCodepre","Subject","Distraction","Scene.Order","preInterested","preDistressed","preExcited","preUpset","preStrong","preGuilty","preScared","preHostile","preEnthusiastic","preProud","preIrritable","preAlert","preAshamed","preInspired","preNervous","preDetermined","preAttentive","preJittery","preActive","preAfraid","T1Interested","T1Distressed","T1Excited","T1Upset","T1Strong","T1Guilty","T1Scared","T1Hostile","T1Enthusiastic","T1Proud","T1Irritable","T1Alert","T1Ashamed","T1Inspired","T1Nervous","T1Determined","T1Attentive","T1Jittery","T1Active","T1Afraid","T2Interested","T2Distressed","T2Excited","T2Upset","T2Strong","T2Guilty","T2Scared","T2Hostile","T2Enthusiastic","T2Proud","T2Irritable","T2Alert","T2Ashamed","T2Inspired","T2Nervous","T2Determined","T2Attentive","T2Jittery","T2Active","T2Afraid","T3Interested","T3Distressed","T3Excited","T3Upset","T3Strong","T3Guilty","T3Scared","T3Hostile","T3Enthusiastic","T3Proud","T3Irritable","T3Alert","T3Ashamed","T3Inspired","T3Nervous","T3Determined","T3Attentive","T3Jittery","T3Active","T3Afraid"
"47","47-c4",47,"3",4,3,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,1,1,1,1,4,1,1,1
"48","48-a5",48,"1",5,2,1,2,2,3,1,1,1,2,3,2,3,1,1,1,4,4,1,3,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,3,1,2,1,3,2,3,2,4,1,1,1,1,1,3,2,1,1,1,2,3,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3,2,3,1,1,1
"49","49-b6",49,"2",6,3,1,2,1,4,1,2,1,3,4,2,4,1,3,2,5,3,2,4,1,2,1,3,1,4,1,1,1,3,4,1,3,1,3,1,4,4,2,3,1,1,3,2,2,4,3,1,2,1,1,4,3,3,1,3,4,3,4,3,3,4,4,2,5,3,1,2,5,1,1,5,4,1,1,3,4,3,4,5,1
"50","50-b2",50,"2",2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,1,3,3,2,3,3,1,1,2,1,1,4,4,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,3,1,1,2,2,2,1,1,1,1,2,2,2,3,2,3,3,3,2
"51","51-c5",51,"3",5,2,1,2,1,3,1,1,1,5,3,1,3,1,2,1,2,3,2,3,1,2,1,2,1,3,1,1,1,5,3,1,3,1,1,1,2,3,2,2,1,1,1,2,1,3,1,1,1,5,4,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,5,3,1,2,1,1,1,1,3,2,2,1
"52","52-b5",52,"2",5,3,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,3,2,2,2,1,2
"53","53-a5",53,"1",5,3,1,2,1,2,1,1,1,2,1,1,4,1,1,2,3,4,1,NA,1,2,1,1,1,2,1,1,1,1,1,1,4,1,2,2,2,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1
"54","54-b6",54,"2",6,3,1,1,1,1,1,1,1,1,1,2,4,2,2,1,3,4,1,2,2,4,1,1,1,1,1,1,1,2,2,2,4,1,2,1,2,4,1,2,2,4,2,1,1,1,1,1,1,2,1,2,4,1,1,1,2,4,1,2,1,4,2,1,1,1,1,1,1,2,1,2,4,1,1,1,2,4,1,2,1
"55","55-c2",55,"3",2,3,4,3,3,2,1,2,3,3,2,4,2,1,3,1,3,4,2,1,1,4,5,1,5,4,1,3,5,2,1,5,4,1,4,1,5,4,4,3,3,4,1,1,3,5,1,1,1,3,1,1,4,1,1,1,2,3,3,1,1,5,5,5,5,1,4,5,5,4,1,5,5,4,1,5,2,1,5,1,5
"56","56-b6",56,"2",6,3,1,2,1,4,1,1,1,3,3,1,4,1,1,1,1,4,2,2,1,2,1,2,1,4,1,1,1,2,1,1,4,1,1,1,4,4,1,3,1,4,3,1,3,3,1,3,2,1,1,3,5,1,1,3,3,3,2,4,2,4,1,1,3,3,1,1,4,1,2,4,5,1,1,1,4,5,1,4,1
"57","57-b4",57,"2",4,4,1,3,2,4,1,1,1,3,1,2,3,1,1,1,3,4,2,2,1,4,1,2,1,3,1,1,1,3,4,1,4,1,2,1,4,4,1,3,1,3,1,3,1,2,1,1,1,2,3,2,3,1,3,1,3,3,1,2,1,3,1,3,2,2,1,1,1,3,2,2,3,1,3,1,2,3,1,2,1
"58","58-a2",58,"1",2,3,1,1,1,2,1,1,1,3,2,1,3,1,2,1,4,3,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,3,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,3,2,2,2,1,2,1,1,1,2,1,1,1,2,3,1,4,1,3,1,4,4,1,2,1
"59","59-c5",59,"3",5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,4,1,2,1,1,1,1,1,1,1,2,2,1,4,4,4,1,1,0,1,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1
"60","60-b3",60,"2",3,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,3,2,4,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,4,1,3,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,3,1,4,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1
"61","61-c6",61,"3",6,4,1,4,1,4,1,1,1,4,4,1,4,1,3,1,4,4,1,4,1,4,1,3,1,4,1,1,1,3,3,1,4,1,3,1,4,3,1,3,1,3,1,3,1,4,1,1,1,3,3,1,3,1,3,1,4,3,1,3,1,3,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1
"62","62-b2",62,"2",2,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1
"63","63-b4",63,"2",4,3,4,2,1,2,2,3,2,2,2,4,2,2,1,4,2,2,4,2,3,1,4,1,2,1,1,2,2,1,1,2,1,2,1,4,1,2,2,2,3,3,1,3,1,2,1,1,4,2,3,2,2,1,1,2,1,3,2,3,1,1,1,1,2,1,1,1,2,1,1,2,3,1,2,1,2,3,1,2,1
"64","64-a2",64,"1",2,2,1,2,1,3,1,1,1,3,3,2,4,1,NA,1,4,3,1,3,1,2,1,1,2,3,2,1,2,2,1,2,4,1,1,1,2,4,2,3,1,2,1,2,1,3,1,1,1,1,1,2,3,1,1,2,3,3,1,3,1,3,3,1,2,1,2,3,1,1,1,2,3,2,1,3,1,3,2,2,3
"65","65-c2",65,"3",2,4,2,5,2,4,2,1,1,4,5,1,3,2,4,2,4,4,1,4,1,4,4,3,5,3,1,2,5,1,1,5,4,2,1,3,3,5,4,3,2,4,3,3,2,3,1,1,2,2,1,2,3,1,1,2,1,2,1,1,1,4,5,4,5,1,2,4,4,2,1,5,5,2,1,5,3,4,4,4,5
"66","66-b5",66,"2",5,2,1,3,1,2,2,1,1,3,2,1,2,2,1,1,2,3,1,2,1,3,1,2,1,1,2,1,1,3,2,1,3,1,1,1,2,3,1,2,1,3,1,2,1,1,2,1,2,3,1,2,4,1,1,1,3,4,1,2,1,2,2,2,1,1,4,1,1,2,1,2,4,2,2,2,2,4,2,2,2
"67","67-a6",67,"1",6,3,2,3,1,3,1,1,1,4,2,1,4,1,3,1,3,4,1,4,1,4,2,3,1,3,1,1,1,4,2,1,4,1,2,1,3,4,1,4,1,4,2,3,2,2,3,2,2,3,2,3,3,2,3,3,4,4,2,4,3,4,3,3,3,4,2,3,4,3,2,4,4,2,2,3,4,3,2,4,2
"68","68-b3",68,"2",3,4,1,1,4,5,1,1,1,3,5,3,5,1,1,1,2,4,1,1,1,4,1,2,1,4,1,1,1,3,4,1,4,1,1,1,4,4,1,1,1,4,1,2,2,4,1,1,1,4,3,2,4,1,1,1,1,4,1,1,1,4,1,3,1,4,1,1,1,3,4,2,3,1,2,1,2,4,1,1,1
"69","69-c4",69,"3",4,2,3,2,2,3,1,1,1,2,4,3,3,1,2,1,3,3,1,2,1,3,2,1,2,3,1,1,1,2,3,2,3,1,2,1,3,2,1,2,1,2,1,2,1,3,1,1,1,2,3,1,2,1,2,2,3,3,1,2,1,2,1,2,1,3,1,1,1,2,3,2,2,1,2,1,2,2,1,1,1
"70","70-c6",70,"3",6,4,1,5,1,3,1,1,1,4,1,1,5,1,2,1,5,5,4,5,1,5,1,3,1,3,1,1,1,1,1,1,1,1,1,1,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,3,1,1,1,1,3,1,1,3,5,1,1,1,1,5,5,5,1
"71","71-b5",71,"2",5,2,1,5,1,2,1,2,1,4,4,2,3,1,2,2,3,3,3,3,1,2,2,3,1,2,1,1,1,3,2,3,2,2,2,3,2,2,3,2,1,2,3,2,3,1,1,1,3,2,2,3,2,11,1,2,4,4,2,2,1,2,2,2,2,1,2,1,2,2,1,3,3,2,1,4,3,3,3,1,2
"72","72-b2",72,"2",2,3,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,1,3,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,4,1,2,1,3,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,4,1,3,1
"73","73-a3",73,"1",3,1,4,1,1,1,1,1,1,1,1,5,5,1,1,1,4,4,4,4,1,1,3,1,1,1,1,1,1,1,1,5,5,1,1,4,3,4,5,3,4,1,5,1,4,1,1,1,1,1,1,5,3,1,1,1,1,3,4,1,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,NA,NA,NA,NA
"74","74-a4",74,"1",4,3,4,3,4,2,5,4,5,2,2,4,2,4,1,5,2,3,3,3,5,3,4,3,4,2,5,4,5,2,2,4,2,4,1,5,2,3,3,3,5,4,2,4,2,3,1,1,1,5,4,1,3,2,4,2,4,5,2,4,1,4,4,2,5,3,1,4,4,2,3,4,5,1,1,5,4,5,2,4,5
"75","75-b4",75,"2",4,4,2,3,1,2,1,1,1,3,3,1,5,1,2,1,2,4,1,2,1,5,1,1,1,1,1,1,1,3,1,1,4,1,2,1,2,5,1,2,1,4,1,2,1,1,1,1,1,3,1,1,5,1,3,1,3,3,1,2,1,3,3,1,4,1,1,1,1,1,1,2,4,1,1,1,1,4,1,1,1
"76","76-b3",76,"2",3,1,3,1,3,1,1,4,4,1,1,1,3,1,1,5,1,1,1,1,5,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"77","77-c2",77,"3",2,2,2,2,1,2,1,1,1,3,2,1,2,1,2,2,3,3,2,3,1,3,2,2,1,2,1,1,1,3,2,1,3,1,2,1,3,3,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,3,2,1
"78","78-c4",78,"3",4,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,2,3,1,1,1,1,3,1,2,1,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,3,1,2,1,1,1,1,1,4,1,1,1,1,1,2,4,1,1,1,1,4,1,2,1
"79","79-b6",79,"2",6,3,1,3,2,3,1,1,1,3,3,2,4,1,1,1,1,3,1,3,1,3,1,3,1,1,1,1,1,3,1,2,1,1,3,1,3,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,1,1,1,3,4,2,3,1
"80","80-a6",80,"1",6,1,1,3,1,3,1,1,1,1,3,4,4,1,2,1,3,3,2,2,1,1,2,1,3,2,1,1,1,1,3,4,2,1,1,1,1,2,1,1,1,1,4,1,3,5,2,1,3,1,2,5,1,1,1,1,2,1,4,1,1,1,3,1,3,3,1,1,3,1,2,4,2,1,1,1,1,1,4,1,1
"81","81-b5",81,"2",5,3,1,3,1,2,1,1,1,2,2,1,3,1,1,2,3,4,1,3,1,2,1,3,1,1,1,1,1,2,1,1,4,1,1,2,3,4,1,3,1,2,3,2,2,1,1,1,2,2,1,2,1,1,1,2,3,3,2,2,1,3,4,2,3,1,1,1,2,1,1,3,2,1,1,2,1,3,2,2,2
"82","82-a3",82,"1",3,4,1,4,1,4,1,1,1,3,2,1,3,1,3,1,3,4,1,4,1,4,2,3,1,2,1,1,1,3,2,1,4,1,3,2,3,4,1,4,2,3,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
"83","83-c2",83,"3",2,4,2,2,4,4,4,2,2,1,1,4,5,4,3,2,5,5,4,3,2,1,1,2,3,3,4,2,2,1,1,4,4,3,2,1,4,4,2,3,2,2,4,4,1,2,2,1,1,4,3,2,4,2,5,1,5,5,2,4,1,2,1,1,3,3,4,4,5,2,2,4,5,5,1,5,4,5,5,2,4
"84","84-a4",84,"1",4,4,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,4,1,1,1,3,4,1,4,1,4,3,1,1,1,4,1,3,1,4,1,1,3,1,4,3,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,2,4,1,5,2,1,1,2,1,1,5,4,1,1,1,3,4,1,3,3
"85","85-c3",85,"3",3,2,3,1,1,3,1,1,1,2,3,1,4,1,1,4,4,4,3,2,1,3,1,2,1,4,1,1,1,3,3,1,4,1,3,4,4,4,3,4,1,2,3,1,2,4,1,1,1,2,3,2,4,1,2,3,4,4,3,1,1,1,2,3,1,3,1,1,1,2,3,1,4,1,2,3,2,4,2,3,1
"86","86-b3",86,"2",3,2,4,1,1,1,1,1,1,2,2,2,4,1,1,1,3,2,4,2,1,2,2,1,1,1,1,1,1,1,1,2,3,1,1,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,4,1,1
"87","87-a5",87,"1",5,4,1,1,1,3,1,1,1,3,2,1,3,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1
"88","88-a3",88,"1",3,2,3,1,1,1,1,1,1,1,2,2,4,1,2,1,3,3,1,2,1,2,1,1,1,1,1,1,1,2,2,1,3,1,2,1,2,4,1,3,1,3,1,2,2,2,1,1,1,2,1,2,4,1,2,1,2,4,1,3,1,3,1,1,1,1,1,1,1,2,2,1,4,1,2,1,1,4,1,3,1
"89","89-c6",89,"3",6,2,1,2,2,2,1,1,2,3,2,3,3,1,1,1,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,3,1,1,3,3,1,1,1,2,2,1,2,1
"90","90-c5",90,"3",5,3,3,3,3,3,1,1,1,3,3,1,4,1,3,1,4,4,1,1,1,3,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,3,1,1,1,3,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,3,1,3,1,3,1,3,3,1,1,1
"91","91-c5",91,"3",5,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,3,1,3,1,1,1,1,1,2,1,1,3,1,2,2,1,3,1,1,1,3,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,3,1,1,2,3,3,2,3,1,3,2,1,1,1,2,4,1,1,4,1,3,1,1,3
"92","92-c5",92,"3",5,2,1,1,1,3,1,2,1,2,2,1,4,1,1,2,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"93","93-a5",93,"1",5,4,1,2,1,3,1,1,1,3,1,2,3,1,1,2,3,3,2,3,1,4,2,2,1,1,1,1,1,3,2,1,4,1,2,2,3,5,3,3,1,3,3,3,3,1,1,1,2,3,1,2,5,1,1,1,3,4,3,3,1,3,3,3,3,1,1,1,1,2,1,3,4,1,1,4,2,3,3,3,2
"94","94-b4",94,"2",4,3,1,1,1,2,1,1,1,2,3,3,2,1,1,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"95","95-c1",95,"3",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1,3,1,2,1,4,1,1,4,3,1,1,1,1,3,1,3,1,3,5,1,4,2,1,4,2,1,1,4,2,1,1,5,2,3,5,2,5,4,1,4,1,1,1,1,1,3,1,1,5,1,1,1,1,5,1,4,1
"96","96-a5",96,"1",5,2,2,1,1,3,1,1,1,1,2,4,3,1,3,2,4,4,1,4,1,1,3,3,1,3,1,1,1,3,3,1,4,1,4,1,5,5,1,5,1,3,1,3,1,4,1,1,1,4,5,1,5,1,5,2,5,5,1,5,1,3,2,2,1,3,1,1,1,3,3,2,3,1,3,2,4,4,1,4,1
"97","97-c2",97,"3",2,1,3,1,2,2,1,3,2,1,2,1,5,1,1,2,4,4,4,2,3,1,1,1,2,1,1,2,3,1,4,3,3,1,1,3,3,3,2,1,2,1,1,1,3,2,1,1,4,1,2,4,3,1,1,1,2,3,2,1,1,1,1,1,1,3,1,2,2,1,3,1,2,1,1,1,3,1,1,1,1
